Standard Name,FMA ID,Organ,Url
EYE_L,12515,Eyeball Left,
EYE_R,12514,Eyeball Right,
A_FEM_L,70250,Femoral artery Left,
A_FEM_R,70249,Femoral artery Right,
V_FEM_L,21188,Femoral vein Left,
V_FEM_R,21189,Femoral vein Right,
FEMBASE_L,32846,Femur bottom third Left,
FEMBASE_R,32845,Femur bottom third Right,
FEMHEAD_L,32843,Femur top third Left,
FEMHEAD_R,32842,Femur top third Right,
FEMSHAFT_L,32849,Femur mid third Left,
FEMSHAFT_R,32848,Femur mid third Right,
FEMUR_L,24475,Femur Left,
FEMUR_R,24474,Femur Right,
FEMJOINT_L,35180,Femur lower articular surface Left,
FEMJOINT_R,35179,Femur lower articular surface Right,
FIBULAS,24479,Fibula combined,
FIBULA_L,24481,Fibula Left,
FIBULA_R,24480,Fibula Right,
FRONTALL_L,72970,Frontal cerebral lobe left,
FRONTALL_R,72969,Frontal cerebral lobe right,
GALLB,7202,Gall bladder,
GHL,16520,Hepatogastric ligament,
GLOTTIS,55414,Vocal cords,
HEART,7088,Heart,
HIPPOCAMPUSS,275020,Hippocampus combined,
HIPPOCAMPUS_L,275024,Hippocampus Left,
HIPPOCAMPUS_R,275022,Hippocampus Right,
HUMERUS_L,23131,Humerus Left,
HUMERUS_R,23130,Humerus Right,
HYOID,52749,Hyoid bone,
A_HYPOPHYSEAL,49849,Hypophyseal artery,
HYPOTHAMALUS,62008,Hypothalamus,
A_ILIAC,14764,Common Iliac arterial tree,
A_ILIAC_C_L,14766,Common iliac artery Left,
A_ILIAC_C_R,14765,Common iliac artery Right,
V_ILIAC_C_L,21388,Common iliac vein Left,
V_ILIAC_C_R,21387,Common iliac vein Right,
A_ILIAC_E_L,18807,External iliac artery Left,
A_ILIAC_E_R,18806,External iliac artery Right,
V_ILIAC_E_L,18886,External iliac vein Left,
V_ILIAC_E_R,18885,External iliac vein Right,
A_ILIAC_I_L,18810,Internal iliac artery Left,
A_ILIAC_I_R,18809,Internal iliac artery Right,
V_ILIAC_I_L,18888,Internal iliac vein Left,
V_ILIAC_I_R,18887,Internal iliac vein Right,
ILIUM_L,16591,Ilium Left,
ILIUM_R,16590,Ilium Right,
V_INTERNALJUG_L,4762,Internal jugular vein,
V_INTERNALJUG_R,4754,Internal jugular vein,
ISCHIUM_L,16594,Ischium Left,
ISCHIUM_R,16593,Ischium Right,
IVC,10951,Inferior vena cava,
KIDNEYS,264815,Kidneys combined,
KIDNEY_L,7205,Kidney Left,
KIDNEY_R,7204,Kidney Right,
KPELVIS_L,15579,Renal pelvis Left,
KPELVIS_R,15578,Renal pelvis Right,
VB_L1,13072,Lumbar Vertebra,
VB_L2,13073,Lumbar Vertebra,
VB_L3,13074,Lumbar Vertebra,
VB_L4,13075,Lumbar Vertebra,
VB_L5,13076,Lumbar Vertebra,
 LACRIMAL_L,59103,Lacrimal gland Left,
 LACRIMAL_R,59102,Lacrimal gland Right,
A_LAD,3862,Anterior interventricular branch of LCA,
 LARYNX,55097,Larynx,
LENS_L,58243,Lens Left,
LENS_R,58242,Lens Right,
LIVER,7197,Liver,
LN_HN_1a,223846,Lymph nodes - H&N 1a Submental combined,
LN_HN_1a_L,235616,Lymph nodes - H&N 1a Submental Left,
LN_HN_1a_R,235614,Lymph nodes - H&N 1a Submental Right,
LN_HN_1b_L,224001,Lymph nodes - H&N 1b Submandibular Left,
LN_HN_1b_R,223999,Lymph nodes - H&N 1b Submandibular Right,
LN_HN_fb_L,223832,Lymph nodes - H&N fb Faciobuccal Left [9],
LN_HN_fb_R,223830,Lymph nodes - H&N fb Faciobuccal Right [9],
LN_HN_2a_L,241975,Lymph nodes - H&N 2a Left,
LN_HN_2a_R,241973,Lymph nodes - H&N 2a Right,
LN_HN_2b_L,241979,Lymph nodes - H&N 2b Left,
LN_HN_2b_R,241977,Lymph nodes - H&N 2b Right,
LN_HN_rp_l,224033,Lymph nodes - H&N rp retropharyngeal Left [7a],
LN_HN_rp_R,224.31,Lymph nodes - H&N rp retropharyngeal Right [7a],
LN_HN_p_L,223806,Lymph nodes - H&N p parotid Left [8],
LN_HN_p_R,223804,Lymph nodes - H&N p parotid Right [8],
LN_HN_pa_L,223794,Lymph nodes - H&N pa postauricular Left [10a],
LN_HN_pa_R,223972,Lymph nodes - H&N pa postauricular Right [10a],
LN_HN_3_L,241953,Lymph nodes - H&N 3 Left,
LN_HN_3_R,241951,Lymph nodes - H&N 3 Right,
LN_HN_o_L,223788,Lymph nodes - H&N o occipital Left [10b],
LN_HN_o_R,223786,Lymph nodes - H&N o occipital Right [10b],
LN_HN_4_L,241959,Lymph nodes - H&N 4 Left,
LN_HN_4_R,241957,Lymph nodes - H&N 4 Right,
LN_HN_5_L,241965,Lymph nodes - H&N 5 Left,
LN_HN_5_R,241963,Lymph nodes - H&N 5 Right,
LN_AX_L,73250,Lymph nodes - axillary Left,
LN_AX_R,73249,Lymph nodes - axillary Right,
LN_AX1_L,73253,Pectoral axillary lymphatics Left,
LN_AX1_R,73252,Pectoral axillary lymphatics Right,
LN_AX2_L,73263,Central axillary lymphatics Left,
LN_AX2_R,73262,Central axillary lymphatics Right,
LN_AX3_L,73265,Apical axillary lymphatics Left,
LN_AX3_R,73264,Apical axillary lymphatics Left Right,
LN_IMC_L,5934,Lymph nodes - parasternal Left,
LN_IMC_R,5933,Lymph nodes - parasternal Right,
LN_P_AORTIC_TxLy [sup],278410,Lymph nodes - para-aortic,
LN_P_AORTIC_TxLy [mid],278412,Lymph nodes - para-aortic,
LN_P_AORTIC_TxLy [inf],278404,Lymph nodes - para-aortic,
LN_ILIAC_COM_L,224269,Lymph nodes - pelvis - common iliac Left,
LN_ILIAC_COM_R,224271,Lymph nodes - pelvis - common iliac Right,
LN_ILIAC_EXT_L,229177,Lymph nodes - pelvis - external iliac Left,
LN_ILIAC_EXT_R,229179,Lymph nodes - pelvis - external iliac Right,
LN_ILIAC_INT_L,224275,Lymph nodes - pelvis - internal iliac Left,
LN_ILIAC_INT_R,224277,Lymph nodes - pelvis - internal iliac Right,
LN_OBT_L,16676,Lymph nodes - pelvis - obturator Left,
LN_OBT_R,16676,Lymph nodes - pelvis - obturator Right,
LN_PRESACRAL,234280,Lymph nodes - pelvis - presacral,
LN_INGUINOFEMS,236337,Lymph nodes - pelvis - inguinofemoral combined,
LN_INGUINOFEM_R,236339,Lymph nodes - pelvis - inguinofemoral Right,
LN_INGUINOFEM_L,236341,Lymph nodes - pelvis - inguinofemoral Left,
LUNGS,68877,Lungs combined,
LUNG_L,7310,Lung Left,
LUNG_R,7309,Lung Right,
LUNG_LLL,7371,Lung - lower lobe of left,
LUNG_LUL,7370,Lung - upper lobe of left,
LUNG_RLL,7337,Lung - lower lobe of right,
LUNG_RML,7383,Lung - middle lobe of right,
LUNG_RUL,7333,Lung - upper lobe of right,
MANDIBLE,52748,Mandible,
MASSETER_L,48998,Masseter Left,
MASSETER_R,48997,Masseter Right,
MESORECTUM,7144,Mesorectum,
MUCOSA,85355,Mucosa,
OCCIPITALL_L,72976,Occipital cerebral lobe left,
OCCIPITALL_R,72975,Occipital cerebral lobe right,
OPTICN_L,50878,Optic nerve Left,
OPTICN_R,50875,Optic nerve Right,
ORBIT_L,53083,Orbit Left,
ORBIT_R,53082,Orbit Right,
OVARY_L,7214,Ovary Left,
OVARY_R,7213,Ovary Right,
PANCREAS,7198,Pancreas,
PARAMETRIUM,77061,Parametrium,
PARIETALLOBE_L,72974,Parietal cerebral lobe left,
PARIETALLOBE_R,72973,Parietal cerebral lobe right,
PAROTID_L,59798,Parotid gland Left,
PAROTID_R,59797,Parotid gland Right,
PELVIS,16586,Bony pelvis combined,
PELVIS_L,20227,Bony pelvis Left,
PELVIS_R,20226,Bony pelvis Right,
PENIS,9707,Penis,
PENISBULB,19614,Bulb of Penis,
PERICARDIUM,9869,Pericardium,
PERINEUM,9579,Perineum,
PERITONEUM,9908,Peritoneal sac,
PINEAL,62033,Pineal body,
PITUITARY,13889,Pituitary gland,
PLATYSMA_L,45740,Platysma Left,
PLATYSMA_R,45739,Platysma Right,
PONS,67943,Pons,
PORTA,15758,Porta hepatis,
PROSTATE,9600,Prostate,
PTERYGOIDL_L,49017,Pterygoid m. Left lateral,
PTERYGOIDL_R,49016,Pterygoid m. Right lateral ,
PTERYGOIDM _L,49013,Pterygoid m. Left medial,
PTERYGOIDM _R,49012,Pterygoid m. Right medial,
PUBIS_L,16597,Pubic bone Left,
PUBIS_R,16596,Pubic bone Right,
A_PULMONARY,66326,Pulmonary artery,
V_PULMONARY,66643,Pulmonary vein,
RADIUS_L,23465,Radius Left,
RADIUS_R,23464,Radius Right,
RECTUM,14544,Rectum,
RECTUMWALL,14626,Rectum,
RETINA_L,58303,Retina Left,
RETINA_R,58302,Retina Right,
RIB1_L,7987,First Rib Left,
RIB1_R,7857,First Rib Right,
RIB10_L,8472,Tenth rib Left,
RIB10_R,8445,Tenth rib Right,
RIB11_L,8532,Eleventh rib Left,
RIB11_R,8531,Eleventh rib Right,
RIB12_L,8534,Twelfth rib Left,
RIB12_R,8533,Twelfth rib Right,
RIB2_L,8012,Second rib Left,
RIB2_R,7882,Second rib Right,
RIB3_L,8039,Third rib Left,
RIB3_R,7909,Third rib Right,
RIB4_L,8148,Fourth rib Left,
RIB4_R,7957,Fourth rib Right,
RIB5_L,8093,Fifth rib Left,
RIB5_R,8066,Fifth rib Right,
RIB6_L,8202,Sixth rib Left,
RIB6_R,8175,Sixth rib Right,
RIB7_L,8256,Seventh rib Left,
RIB7_R,8229,Seventh rib Right,
RIB8_L,8310,Eighth rib Left,
RIB8_R,8283,Eighth rib Right,
RIB9_L,8391,Ninth rib Left,
RIB9_R,8364,Ninth rib Right,
VB_S1,13077,Sacral Vertebra,
VB_S2,13078,Sacral Vertebra,
VB_S3,13079,Sacral Vertebra,
VB_S4,13080,Sacral Vertebra,
VB_S5,13081,Sacral Vertebra,
SACRUM,16202,Sacrum,
SCAPULA_L,13396,Scapula Left,
SCAPULA_R,13395,Scapula Right,
SCROTUM,18252,Scrotum (skin & cremasteric fascia),
SV,19387,Seminal vesicle,
SKIN,7163,Skin,
SKULL,46565,Skull,
SMALLBOWEL,7200,Small intestines,
SPINALCANAL,9680,Vertebral canal,
SPINALCORD,7647,Spinal cord combined,
SPINALCORD_C,71166,Spinal cord cervical,
SPINALCORD_T ,71167,Spinal cord thoracic,
SPINALCORD_L ,71168,Spinal cord lumbar,
SPINALCORD_S ,256623,Spinal cord sacral,
SPLEEN,7196,Spleen,
SPLEENHILUM,15841,Splenic hilum,
SCM_L,13409,Sternocleidomastoid Left,
SCM_R,13408,Sternocleidomastoid Right,
STOMACH,7148,Stomach,
A_SUBCLAV_L,4694,Subclavian artery left,
A_SUBCLAV_R,3953,Subclavian artery right,
V_SUBCLAV_R,4755,Subclavian vein right,
V_SUBCLAV_L,4763,Subclavian vein left,
SUBLINGS,59791,Sublingual glands combined,
SUBLING_L,59805,Sublingual gland Left,
SUBLING_R,59804,Sublingual gland Right,
SUBMAND_L,59803,Submandibular gland Left,
SUBMAND_R,59802,Submandibular gland Right,
A_SMA,14749,Superior mesenteric artery,
V_SVC,4720,Superior vena cava,
PUBICSYMPHYSIS,16950,Symphysis pubis,
VB_T1,9165,Thoracic Vertebra,
VB_T2,9187,Thoracic Vertebra,
VB_T3,9209,Thoracic Vertebra,
VB_T4,9248,Thoracic Vertebra,
VB_T5,9922,Thoracic Vertebra,
VB_T6,9945,Thoracic Vertebra,
VB_T7,9968,Thoracic Vertebra,
VB_T8,9991,Thoracic Vertebra,
VB_T9,10014,Thoracic Vertebra,
VB_T10,10037,Thoracic Vertebra,
VB_T11,10059,Thoracic Vertebra,
VB_T12,10081,Thoracic Vertebra,
TEETH,314001,Teeth ,
TMJs,54832,Temporomandibular joint,
TMJ_L,54834,Temporomandibular joint left,
TMJ_R,54833,Temporomandibular joint right,
TEMPORALL_L,72972,Temporal cerebral lobe Left,
TEMPORALL_R,72971,Temporal cerebral lobe Right,
TESTIS_L,7212,Testis Left,
TESTIS_R,7211,Testis Right,
THORACICDUCT,5031,Thoracic Duct,
THYROID,9603,Thyroid,
THYROID_C,55099,Thyroid cartilage,
TRACHEA,7394,Trachea,
URETER_L,17888,Ureter Left,
URETER_R,17887,Ureter Right,
URETHRA,19667,Urethra,
UTERUS,17558,Uterus,
VAGINA,19949,Vagina,
VULVA,20462,Vulva (includes mons pubis),
