Code,Description
8140/2 ,"Adenocarcinoma in situ, NOS"
8140/3 ,"Adenocarcinoma, NOS"
8140/6 ,"Adenocarcinoma, metastatic, NOS"
8141/3 ,Scirrhous adenocarcinoma
8142/3 ,Linitis plastica (C16._)
8143/3 ,Superficial spreading adenocarcinoma
8144/3 ,"Adenocarcinoma, intestinal type (C16._)"
8145/3 ,"Carcinoma, diffuse type (C16._)"
8146/0 ,Monomorphic adenoma
8147/0 ,Basal cell adenoma
8147/3 ,Basal cell adenocarcinoma
8148/2 ,"Glandular intraepithelial neoplasia, grade III"
8149/0 ,Canalicular adenoma
8150/0 ,Islet cell adenoma (C25._)
8150/1 ,"Islet cell tumour, NOS (C25._)"
8150/3 ,Islet cell carcinoma (C25._)
8151/0 ,"Insulinoma, NOS (C25._)"
8151/3 ,"Insulinoma, malignant (C25._)"
8152/1 ,"Glucagonoma, NOS (C25._)"
8152/3 ,"Glucagonoma, malignant (C25._)"
8153/1 ,"Gastrinoma, NOS"
8153/3 ,"Gastrinoma, malignant"
8154/3 ,Mixed islet cell and exocrine adenocarcinoma (C25._)
8155/1 ,"Vipoma, NOS"
8155/3 ,"Vipoma, malignant"
8156/1 ,"Somatostatinoma, NOS"
8156/3 ,"Somatostatinoma, malignant"
8157/1 ,"Enteroglucagonoma, NOS"
8157/3 ,"Enteroglucagonoma, malignant"
8160/0 ,"Bile duct adenoma (C22.1, C24.0)"
8160/3 ,"Cholangiocarcinoma (C22.1, C24.0)"
8161/0 ,"Bile duct cystadenoma (C22.1, C24.0)"
8161/3 ,"Bile duct cystadenocarcinoma (C22.1, C24.0)"
8162/3 ,"Klatskin's tumour (C22.1, C24.0)"
8170/0 ,Liver cell adenoma (C22.0)
8170/3 ,"Hepatocellular carcinoma, NOS (C22.0)"
8171/3 ,"Hepatocellular carcinoma, fibrolamellar (C22.0)"
8172/3 ,"Hepatocellular carcinoma, scirrhous (C22.0)"
8173/3 ,"Hepatocellular carcinoma, spindle cell variant (C22.0)"
8174/3 ,"Hepatocellular carcinoma, clear cell type (C22.0)"
8175/3 ,"Hepatocellular carcinoma, pleomorphic type (C22.0)"
8180/3 ,Combined hepatocellular carcinoma and cholangiocarcinoma (C22.0)
8190/0 ,Trabecular adenoma
8190/3 ,Trabecular adenocarcinoma
8191/0 ,Embryonal adenoma
8200/0 ,Eccrine dermal cylindroma (C44._)
8200/3 ,Adenoid cystic carcinoma
8201/2 ,Cribriform carcinoma in situ (C50._)
8201/3 ,"Cribriform carcinoma, NOS"
8202/0 ,Microcystic adenoma (C25._)
8204/0 ,Lactating adenoma (C50._)
8210/0 ,"Adenomatous polyp, NOS"
8210/2 ,Adenocarcinoma in situ in adenomatous polyp
8210/3 ,Adenocarcinoma in adenomatous polyp
8211/0 ,"Tubular adenoma, NOS"
8211/3 ,Tubular adenocarcinoma
8212/0 ,Flat adenoma
8213/0 ,Serrated adenoma (C18._)
8214/3 ,Parietal cell carcinoma (C16._)
8215/3 ,Adenocarcinoma of anal glands (C21.1)
8220/0 ,Adenomatous polyposis coli (C18._)
8220/3 ,Adenocarcinoma in adenomatous polyposis coli (C18._)
8221/0 ,Multiple adenomatous polyps
8221/3 ,Adenocarcinoma in multiple adenomatous polyps
8230/2 ,"Ductal carcinoma in situ, solid type (C50._)"
8230/3 ,"Solid carcinoma, NOS"
8231/3 ,Carcinoma simplex
8240/1 ,Carcinoid tumour of uncertain malignant potential
8240/3 ,"Carcinoid tumour, NOS (except of appendix 8240/1)"
8241/3 ,Enterochromaffin cell carcinoid
8242/1 ,"Enterochromaffin-like cell carcinoid, NOS"
8242/3 ,"Enterochromaffin-like cell tumour, malignant"
8243/3 ,Goblet cell carcinoid
8244/3 ,Composite carcinoid
8245/1 ,Tubular carcinoid
8245/3 ,Adenocarcinoid tumour
8246/3 ,"Neuroendocrine carcinoma, NOS"
8247/3 ,Merkel cell carcinoma (C44._)
8248/1 ,Apudoma
8249/3 ,Atypical carcinoid tumour
8250/1 ,Pulmonary adenomatosis (C34._)
8250/3 ,"Bronchiolo-alveolar adenocarcinoma, NOS (C34._)"
8251/0 ,Alveolar adenoma (C34._)
8251/3 ,Alveolar adenocarcinoma (C34._)
8252/3 ,"Bronchio-alveolar carcinoma, non-mucinous (C34._)"
8253/3 ,"Bronchio-alveolar carcinoma, mucinous (C34._)"
8254/3 ,"Bronchio-alveolar carcinoma, mixed mucinous and non-mucinous (C34._)"
8255/3 ,Adenocarcinoma with mixed subtypes
8260/0 ,"Papillary adenoma, NOS"
8260/3 ,"Papillary adenocarcinoma, NOS"
8261/0 ,"Villous adenoma, NOS"
8261/2 ,Adenocarcinoma in situ in villous adenoma
8261/3 ,Adenocarcinoma in villous adenoma
8262/3 ,Villous adenocarcinoma
8263/0 ,"Tubulovillous adenoma, NOS"
8263/2 ,Adenocarcinoma in situ in tubulovillous adenoma
8263/3 ,Adenocarcinoma in tubulovillous adenoma
8264/0 ,"Papillomatosis, glandular"
8270/0 ,Chromophobe adenoma (C75.1)
8270/3 ,Chromophobe carcinoma (C75.3)
8271/0,Prolactinoma (C75.1)
8272/0 ,"Pituitary adenoma, NOS (C75.1)"
8272/3 ,"Pituitary carcinoma, NOS (C75.1)"
8280/0 ,Acidophil adenoma (C75.1)
8280/3 ,Acidophil carcinoma (C75.1)
8281/0 ,Mixed acidophil-basophil adenoma (C75.1)
8281/3 ,Mixed acidophil-basophil carcinoma (C75.1)
8290/0 ,Oxyphilic adenoma
8290/3 ,Oxyphilic adenocarcinoma
8300/0 ,Basophil adenoma (C75.1)
8300/3 ,Basophil carcinoma (C75.1)
8310/0 ,Clear cell adenoma
8310/3 ,"Clear cell adenocarcinoma, NOS"
8311/1 ,Hypernephroid tumour (obs)
8312/3 ,"Renal cell carcinoma, NOS (C64.9)"
8313/0 ,Clear cell adenofibroma (C56.9)
8313/1 ,Clear cell adenofibroma of borderline malignancy (C56.9)
8313/3 ,Clear cell adenocarcinofibroma (C56.9)
8314/3 ,Lipid-rich carcinoma (C50._)
8315/3 ,Glycogen-rich carcinoma
8316/3 ,Cyst-associated renal cell carcinoma (C64.9)
8317/3 ,"Renal cell carcinoma, chromophobe type (C64.9)"
8318/3 ,"Renal cell carcinoma, sarcomatoid (C64.9)"
8319/3 ,Collecting duct carcinoma (C64.9)
8320/3 ,Granular cell carcinoma
8321/0 ,Chief cell adenoma (C75.0)
8322/0 ,Water-clear cell adenoma (C75.0)
8322/3 ,Water-clear cell adenocarcinoma (C75.0)
8323/0 ,Mixed cell adenoma
8323/3 ,Mixed cell adenocarcinoma
8324/0 ,Lipoadenoma
8325/0 ,Metanephric adenoma (C64.9)
8330/0 ,Follicular adenoma (C73.9)
8330/1 ,Atypical follicular adenoma (C73.9)
8330/3 ,"Follicular adenocarcinoma, NOS (C73.9)"
8331/3 ,"Follicular adenocarcinoma, well differentiated (C73.9)"
8332/3 ,"Follicular adenocarcinoma, trabecular (C73.9)"
8333/0 ,"Microfollicular adenoma, NOS (C73.9)"
8333/3 ,Foetal adenocarcinoma
8334/0 ,Macrofollicular adenoma (C73.9)
8335/3 ,"Follicular carcinoma, minimally invasive (C73.9)"
8336/0 ,Hyalinising trabecular adenoma (C73.9)
8337/3 ,Insular carcinoma (C73.9)
8340/3 ,"Papillary carcinoma, follicular variant (C73.9)"
8341/3 ,Papillary microcarcinoma (C73.9)
8342/3 ,"Papillary carcinoma, oxyphilic cell (C73.9)"
8343/3 ,"Papillary carcinoma, encapsulated (C73.9)"
8344/3 ,"Papillary carcinoma, columnar cell (C73.9)"
8345/3 ,Medullary carcinoma with amyloid stroma (C73.9)
8346/3 ,Mixed medullary-follicular carcinoma (C73.9)
8347/3 ,Mixed medullary-papillary carcinoma (C73.9)
8350/3 ,Nonencapsulated sclerosing carcinoma (C73.9)
8360/1 ,Multiple endocrine adenomas
8361/0 ,Juxtaglomerular tumour (C64.9)
8370/0 ,"Adrenal cortical adenoma, NOS (C74.0)"
8370/3 ,Adrenal cortical carcinoma (C74.0)
8371/0 ,"Adrenal cortical adenoma, compact cell (C74.0)"
8372/0 ,"Adrenal cortical adenoma, pigmented (C74.0)"
8373/0 ,"Adrenal cortical adenoma, clear cell (C74.0)"
8374/0 ,"Adrenal cortical adenoma, glomerulosa cell (C74.0)"
8375/0 ,"Adrenal cortical adenoma, mixed cell (C74.0)"
8380/0 ,"Endometrioid adenoma, NOS"
8380/1 ,"Endometrioid adenoma, borderline malignancy"
8380/3 ,"Endometrioid adenocarcinoma, NOS"
8381/0 ,"Endometrioid adenofibroma, NOS"
8381/1 ,"Endometrioid adenofibroma, borderline malignancy"
8381/3 ,"Endometrioid adenofibroma, malignant"
8382/3 ,"Endometrioid adenocarcinoma, secretory variant"
8383/3 ,"Endometrioid adenocarcinoma, ciliated cell variant"
8384/3 ,"Adenocarcinoma, endocervical type"
8390/0 ,Skin appendage adenoma (C44._)
8390/3 ,Skin appendage carcinoma (C44._)
8391/0 ,Follicular fibroma (C44._)
8392/0 ,Syringofibroadenoma (C44._)
8400/0 ,Sweat gland adenoma (C44._)
8400/1 ,"Sweat gland tumour, NOS (C44._)"
8400/3 ,Sweat gland adenocarcinoma (C44._)
8401/0 ,Apocrine adenoma
8401/3,Apocrine adenocarcinoma
8402/0 ,Nodular hidradenoma (C44._)
8402/3 ,"Nodular hidradenoma, malignant (C44._)"
8403/0 ,Eccrine spiradenoma (C44._)
8403/3 ,Malignant eccrine spiradenoma (C44._)
8404/0 ,Hidrocystoma (C44._)
8405/0 ,Papillary hydradenoma
8406/0 ,Papillary syringadenoma (C44._)
8407/0 ,"Syringoma, NOS (C44._)"
8407/3 ,Sclerosing sweat duct carcinoma (C44._)
8408/0 ,Eccrine papillary adenoma (C44._)
8408/1 ,Aggressive digital papillary adenoma (C44._)
8408/3 ,Eccrine papillary adenocarcinoma (C44._)
8409/0 ,Eccrine poroma (C44._)
8409/3 ,"Eccrine poroma, malignant"
8410/0 ,Sebaceous adenoma (C44._)
8410/3 ,Sebaceous adenocarcinoma (C44._)
8413/3 ,Eccrine adenocarcinoma (C44._)
8420/0 ,Ceruminous adenoma (C44.2)
8420/3 ,Ceruminous adenocarcinoma (C44.2)
8430/1 ,Mucoepidermoid tumour (obs)
8430/3 ,Mucoepidermoid carcinoma
8440/0 ,"Cystadenoma, NOS"
8440/3 ,"Cystadenocarcinoma, NOS"
8441/0 ,"Serous cystadenoma, NOS"
8441/3 ,"Serous cystadenocarcinoma, NOS (C56.9)"
8442/1 ,"Serous cystadenoma, borderline malignancy (C56.9)"
8443/0 ,Clear cell cystadenoma (C56.9)
8444/1 ,Clear cell cystic tumour of borderline malignancy (C56.9)
8450/0 ,"Papillary cystadenoma, NOS (C56.9)"
8450/3 ,"Papillary cystadenocarcinoma, NOS (C56.9)"
8451/1 ,"Papillary cystadenoma, borderline malignancy (C56.9)"
8452/1 ,Solid pseudopapillary tumour (C25._)
8452/3 ,Solid pseudopapillary carcinoma (C25._)
8453/0 ,Intraductal papillary-mucinous adenoma (C25._)
8453/1,Intraductal papillary-mucinous tumour with moderate dysplasia (C25._)
8453/2," Intraductal papillary-mucinous carcinoma, non-invasive (C25._)"
8453/3 ,"Intraductal papillary-mucinous carcinoma, invasive (C25._)"
8454/0 ,Cystic tumour of atrio-ventricular node (C38.0)
8460/0,"Papillary serous cystadenoma, NOS (C56.9)"
8460/3 ,Papillary serous cystadenocarcinoma (C56.9)
8461/0 ,Serous surface papilloma (C56.9)
8461/3 ,Serous surface papillary carcinoma (C56.9)
8462/1 ,Serous papillary cystic tumour of borderline malignancy (C56.9)
8463/1 ,Serous surface papillary tumour of borderline malignancy (C56.9)
8470/0 ,"Mucinous cystadenoma, NOS (C56.9)"
8470/1 ,Mucinous cystic tumour with moderate dysplasia (C25._)
8478/2 ,"Mucinous cystadenocarcinoma, non-invasive (C25._)"
8470/3 ,"Mucinous cystadenocarcinoma, NOS (C56.9)"
8471/0 ,"Papillary mucinous cystadenoma, NOS (C56.9)"
8471/3 ,Papillary mucinous cystadenocarcinoma (C56.9)
8472/1 ,Mucinous cystic tumour of borderline malignancy (C56.9)
8473/1 ,"Papillary mucinous cystadenoma, borderline malignancy (C56.9)"
8480/0 ,Mucinous adenoma
8480/3 ,Mucinous adenocarcinoma
8480/6 ,Pseudomyxoma peritonei
8481/3 ,Mucin-producing adenocarcinoma
8482/3 ,"Mucinous adenocarcinoma, endocervical type"
8490/3 ,Signet ring cell carcinoma
8490/6 ,Metastatic signet ring cell carcinoma
8500/2 ,"Intraductal carcinoma, noninfiltrating, NOS"
8500/3,"Infiltrating duct carcinoma, NOS (C50._)"
8501/2 ,"Comedocarcinoma, noninfiltrating (C50._)"
8501/3 ,"Comedocarcinoma, NOS (C50._)"
8502/3 ,Secretory carcinoma of breast (C50._)
8503/0 ,Intraductal papilloma
8503/2 ,Noninfiltrating intraductal papillary adenocarcinoma (C50._)
8503/3 ,Intraductal papillary adenocarcinoma with invasion (C50._)
8504/0 ,Intracystic papillary adenoma
8504/2 ,Noninfiltrating intracystic carcinoma
8504/3 ,"Intracystic carcinoma, NOS"
8505/0 ,"Intraductal papillomatosis, NOS"
8506/0 ,Adenoma of nipple (C50.0)
8507/2,Intraductal micropapillary carcinoma (C50._)
8508/3 ,Cystic hypersecretory carcinoma (C50._)
8510/3 ,"Medullary carcinoma, NOS"
8512/3 ,Medullary carcinoma with lymphoid stroma
8513/3 ,Atypical medullary carcinoma (C50._)
8514/3 ,"Duct carcinoma, desmoplastic type"
8520/2,"Lobular carcinoma in situ, NOS (C50._)"
8520/3 ,"Lobular carcinoma, NOS (C50._)"
8521/3 ,Infiltrating ductular carcinoma (C50._)
8522/2 ,Intraductal carcinoma and lobular carcinoma in situ (C50._)
8522/3 ,Infiltrating duct and lobular carcinoma (C50._)
8523/3 ,Infiltrating duct mixed with other types of carcinoma (C50._)
8524/3,Infiltrating lobular mixed with other types of carcinoma (C50._)
8525/3 ,Polymorphous low grade adenocarcinoma
8530/3 ,Inflammatory carcinoma (C50._)
8540/3 ,"Paget's disease, mammary (C50._)"
8541/3 ,Paget's disease and infiltrating duct carcinoma of breast (C50._)
8542/3 ,"Paget's disease, extramammary (except Paget's disease of bone)"
8543/3 ,Paget's disease and intraductal carcinoma of breast (C50._)
8550/0 ,Acinar cell adenoma
8550/1 ,Acinar cell tumour (obs)
8550/3 ,Acinar cell carcinoma
8551/3 ,Acinar cell cystadenocarcinoma
8560/0 ,Mixed squamous cell and glandular papilloma
8560/3 ,Adenosquamous carcinoma
8561/0 ,"Adenolymphoma (C07._, C08._)"
8562/3 ,Epithelial-myoepithelial carcinoma
8570/3 ,Adenocarcinoma with squamous metaplasia
8571/3 ,Adenocarcinoma with cartilaginous and osseous metaplasia
8572/3 ,Adenocarcinoma with spindle cell metaplasia
8573/3 ,Adenocarcinoma with apocrine metaplasia
8574/3 ,Adenocarcinoma with neuroendocrine differentiation
8575/3 ,"Metaplastic carcinoma, NOS"
8576/3 ,Hepatoid adenocarcinoma
8580/0 ,"Thymoma, benign (C37.9)"
8580/1,"Thymoma, NOS (C37.9)"
8580/3 ,"Thymoma, malignant, NOS (C37.9)"
8581/1 ,"Thymoma, type A, NOS (C37.9)"
8581/3 ,"Thymoma, type A, malignant (C37.9)"
8582/1 ,"Thymoma, type AB, NOS (C37.9)"
8582/3 ,"Thymoma, type AB, malignant (C37.9)"
8583/1 ,"Thymoma, type B1, NOS (C37.9)"
8583/3 ,"Thymoma, type B1, malignant (C37.9)"
8584/1 ,"Thymoma, type B2, NOS (C37.9)"
8584/3 ,"Thymoma, type B2, malignant (C37.9)"
8585/1 ,"Thymoma, type B3, NOS (C37.9)"
8585/3 ,"Thymoma, type B3, malignant (C37.9)"
8586/3 ,"Thymic carcinoma, NOS (C37.9)"
8587/0 ,Ectopic hamartomatous thymoma
8588/3 ,Spindle epithelial tumour with thymus-like element
8589/3 ,Carcinoma showing thymus-like element
8590/1 ,"Sex cord-gonadal stromal tumour, NOS"
8591/1 ,"Sex cord-gonadal stromal tumour, incompletely differentiated"
8592/1 ,"Sex cord-gonadal stromal tumour, mixed forms"
8593/1 ,Stromal tumour with minor sex cord elements (C56.9)
8600/0,"Thecoma, NOS (C56.9)"
8600/3 ,"Thecoma, malignant (C56.9)"
8601/0 ,"Thecoma, luteinised (C56.9)"
8602/0 ,Sclerosing stromal tumour (C56.9)
8610/0 ,"Luteoma, NOS (C56.9)"
8620/1 ,"Granulosa cell tumour, adult type (C56.9)"
8620/3 ,"Granulosa cell tumour, malignant (C56.9)"
8621/1 ,Granulosa cell-theca cell tumour (C56.9)
8622/1 ,"Granulosa cell tumour, juvenile (C56.9)"
8623/1 ,Sex cord tumour with annular tubules (C56.9)
8630/0 ,"Androblastoma, benign"
8630/1 ,"Androblastoma, NOS"
8630/3 ,"Androblastoma, malignant"
8631/0 ,"Sertoli-Leydig cell tumour, well differentiated"
8631/1 ,Sertoli-Leydig cell tumour of intermediate differentiation
8631/3 ,"Sertoli-Leydig cell tumour, poorly differentiated"
8632/1 ,Gynandroblastoma (C56.9)
8633/1 ,"Sertoli-Leydig cell tumour, retiform"
8634/1 ,"Sertoli-Leydig cell tumour, intermediate differentiation, with heterologous elements"
8634/3 ,"Sertoli-Leydig cell tumour, poorly differentiated, with heterologous elements"
8640/1 ,"Sertoli cell tumour, NOS"
8640/3 ,Sertoli cell carcinoma (C62._)
8641/0 ,Sertoli cell tumour with lipid storage
8642/1 ,Large cell calcifying Sertoli cell tumour
8650/0 ,"Leydig cell tumour, benign (C62._)"
8650/1 ,"Leydig cell tumour, NOS (C62._)"
8650/3 ,"Leydig cell tumour, malignant (C62._)"
8660/0 ,Hilus cell tumour (C62._)
8670/0 ,Lipid cell tumour of ovary (C56.9)
8670/3 ,"Steroid cell tumour, malignant"
8671/0 ,Adrenal rest tumour
8680/0 ,"Paraganglioma, benign"
8680/1 ,"Paraganglioma, NOS"
8680/3 ,"Paraganglioma, malignant"
8681/1 ,Sympathetic paraganglioma
8682/1 ,Parasympathetic paraganglioma
8683/0 ,Gangliocytic paraganglioma (C17.0)
8690/1 ,"Glomus jugulare tumour, NOS (C75.5)"
8691/1 ,Aortic body tumour (C75.5)
8692/1 ,Carotid body tumour (C75.5)
8693/1 ,"Extra-adrenal paraganglioma, NOS"
8693/3 ,"Extra-adrenal paraganglioma, malignant"
8700/0 ,"Phaeochromocytoma, NOS (C74.1)"
8700/3 ,"Phaeochromocytoma, malignant (C74.1)"
8710/3 ,Glomangiosarcoma
8711/0 ,"Glomus tumour, NOS"
8711/3 ,"Glomus tumour, malignant"
8712/0 ,Glomangioma
8713/0 ,Glomangiomyoma
8720/0 ,"Pigmented naevus, NOS (C44._)"
8720/2 ,Melanoma in situ
8720/3 ,"Malignant melanoma, NOS (except juvenile melanoma 8770/0)"
8721/3 ,Nodular melanoma (C44._)
8722/0 ,Balloon cell naevus (C44._)
8722/3 ,Balloon cell melanoma (C44._)
8723/0 ,Halo naevus (C44._)
8723/3 ,"Malignant melanoma, regressing (C44._)"
8725/0 ,Neuronaevus (C44._)
8726/0 ,Magnocellular naevus (C69.4)
8727/0 ,Dysplastic naevus (C44._)
8728/0 ,Diffuse melanocytosis (C70.9)
8728/1 ,Meningeal melanocytoma (C70.9)
8728/3 ,Meningeal melanomatosis (C70.9)
8730/0 ,Nonpigmented naevus (C44._)
8730/3 ,Amelanotic melanoma (C44._)
8740/0 ,"Junctional naevus, NOS (C44._)"
8740/3 ,Malignant melanoma in junctional naevus (C44._)
8741/2 ,"Precancerous melanosis, NOS (C44._)"
8741/3 ,Malignant melanoma in precancerous melanosis (C44._)
8742/2,Lentigo maligna (C44._)
8742/3 ,Lentigo maligna melanoma (C44._)
8743/3 ,Superficial spreading melanoma (C44._)
8744/3 ,"Acral lentiginous melanoma, malignant (C44._)"
8745/3 ,"Desmoplastic melanoma, malignant (C44._)"
8746/3,Mucosal lentiginous melanoma
8750/0,Intradermal naevus (C44._)
8760/0 ,Compound naevus (C44._)
8761/0 ,Small congenital naevus (C44._)
8761/1 ,"Giant pigmented naevus, NOS (C44._)"
8761/3 ,Malignant melanoma in giant pigmented naevus (C44._)
8762/1 ,Proliferative dermal lesion in congenital naevus (C44._)
8770/0 ,Epithelioid and spindle cell naevus (C44._)
8770/3 ,Mixed epithelioid and spindle cell melanoma
8771/0 ,Epithelioid cell naevus (C44._)
8771/3 ,Epithelioid cell melanoma
8772/0 ,"Spindle cell naevus, NOS (C44._)"
8772/3 ,"Spindle cell melanoma, NOS"
8773/3 ,"Spindle cell melanoma, type A (C69._)"
8774/3 ,"Spindle cell melanoma, type B (C69._)"
8780/0 ,"Blue naevus, NOS (C44._)"
8780/3 ,"Blue naevus, malignant (C44._)"
8790/0 ,Cellular blue naevus (C44._)
8800/0 ,"Soft tissue tumour, benign"
8800/3 ,"Sarcoma, NOS"
8800/9 ,"Sarcomatosis, NOS"
8801/3 ,Spindle cell sarcoma
8802/3 ,Giant cell sarcoma (except of bone 9250/3)
8803/3 ,Small cell sarcoma
8804/3 ,Epithelioid sarcoma
8805/3 ,Undifferentiated sarcoma
8806/3 ,Desmoplastic small round cell tumour
8810/0 ,"Fibroma, NOS"
8810/1 ,Cellular fibroma (C56.9)
8810/3 ,"Fibrosarcoma, NOS"
8811/0 ,Fibromyxoma
8811/3 ,Fibromyxosarcoma
8812/0,"Periosteal fibroma (C40._, C41._)"
8812/3 ,"Periosteal fibrosarcoma (C40._, C41._)"
8813/0 ,Fascial fibroma
8813/3 ,Fascial fibrosarcoma
8814/3 ,Infantile fibrosarcoma
8815/0 ,Solitary fibrous tumour
8815/3 ,"Solitary fibrous tumour, malignant"
8820/0 ,Elastofibroma
8821/1 ,Aggressive fibromatosis
8822/1 ,Abdominal fibromatosis
8823/0 ,Desmoplastic fibroma
8824/0 ,Myofibroma
8824/1 ,Myofibromatosis
8825/0 ,Myofibroblastoma
8825/1,"Myofibroblastic tumour, NOS"
8826/0,Angiomyofibroblastoma
8827/1 ,"Myofibroblastic tumour, peribronchial (C34._)"
8830/0 ,Benign fibrous histiocytoma
8830/1 ,Atypical fibrous histiocytoma
8830/3 ,Malignant fibrous histiocytoma
8831/0 ,"Histiocytoma, NOS"
8832/0 ,"Dermatofibroma, NOS (C44._)"
8832/3 ,"Dermatofibrosarcoma, NOS (C44._)"
8833/3 ,Pigmented dermatofibrosarcoma protuberans (C44._)
8834/1 ,Giant cell fibroblastoma
8835/1 ,Plexiform fibrohistiocytic tumour
8836/1 ,Angiomatoid fibrous histiocytoma
8840/0 ,"Myxoma, NOS"
8840/3 ,Myxosarcoma
8841/1 ,Angiomyxoma
8842/0 ,Ossifying fibromyxoid tumour
8850/0 ,"Lipoma, NOS"
8850/1,Atypical lipoma
8850/3 ,"Liposarcoma, NOS"
8851/0 ,Fibrolipoma
